country,pred,cogn_label_fac,isced,cogn_num,cogn_label
Austria,10.9,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,12.93,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,21.94,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,34.29,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,41.83,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,43.57,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,48.78,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,51.05,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,56.43,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,59.69,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,64.7,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,68.27,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,70.34,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,70.71,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,72.23,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,73.83,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,75.65,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,77.34,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,78.6,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,79.91,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,81.83,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,82.24,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,83.54,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,84.3,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,84.91,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,85.29,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,85.97,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,86.42,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,86.99,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,87.66,bottcogn_topnoncogn_high,High ISCED,2,70
Austria,88.53,NA,High ISCED,NA,NA
Austria,88.74,NA,High ISCED,NA,NA
Austria,89.02,NA,High ISCED,NA,NA
Austria,89.46,NA,High ISCED,NA,NA
Austria,90.16,NA,High ISCED,NA,NA
Austria,90.69,NA,High ISCED,NA,NA
Austria,90.9,NA,High ISCED,NA,NA
Austria,91.32,NA,High ISCED,NA,NA
Austria,91.55,NA,High ISCED,NA,NA
Austria,91.79,NA,High ISCED,NA,NA
Austria,91.93,NA,High ISCED,NA,NA
Austria,92.24,NA,High ISCED,NA,NA
Austria,92.63,NA,High ISCED,NA,NA
Austria,92.82,NA,High ISCED,NA,NA
Austria,93.07,NA,High ISCED,NA,NA
Austria,93.34,NA,High ISCED,NA,NA
Austria,93.54,NA,High ISCED,NA,NA
Austria,93.8,NA,High ISCED,NA,NA
Austria,94.03,NA,High ISCED,NA,NA
Austria,94.17,NA,High ISCED,NA,NA
Austria,94.49,NA,High ISCED,NA,NA
Austria,94.68,NA,High ISCED,NA,NA
Austria,94.97,NA,High ISCED,NA,NA
Austria,95.3,NA,High ISCED,NA,NA
Austria,95.47,NA,High ISCED,NA,NA
Austria,95.69,NA,High ISCED,NA,NA
Austria,95.8,NA,High ISCED,NA,NA
Austria,95.92,NA,High ISCED,NA,NA
Austria,96.09,NA,High ISCED,NA,NA
Austria,96.19,NA,High ISCED,NA,NA
Austria,96.32,NA,High ISCED,NA,NA
Austria,96.37,NA,High ISCED,NA,NA
